W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.20,30.00,transect,0.989228,0.005660,0.989278,0.965736,1.010685,0.231951,0.224144,0.226182,0.220370,0.229460,0.020684,1.099574,0.636982
0.00,0.20,30.00,ergo_nonadaptive,0.984445,0.004778,0.981383,0.972986,1.005893,0.230413,0.221810,0.225762,0.219510,0.228566,0.020660,1.074245,0.649780
0.00,0.20,30.00,ergo_adaptive,0.983266,0.004464,0.983195,0.974907,0.996915,0.230179,0.218455,0.219332,0.213921,0.227495,0.036918,1.093135,0.640376
0.00,0.20,30.00,bb_ipp,0.989425,0.005506,0.989694,0.969961,1.008520,0.231043,0.220430,0.221924,0.216678,0.223882,0.037513,0.993775,0.688344
0.50,0.20,30.00,transect,0.989228,0.005660,0.989278,0.965736,1.010685,0.196122,0.188877,0.189133,0.180416,0.201883,-0.479316,1.099574,0.592779
0.50,0.20,30.00,ergo_nonadaptive,0.984445,0.004778,0.981383,0.972986,1.005893,0.197716,0.190396,0.191147,0.174888,0.207053,-0.479340,1.074245,0.599522
0.50,0.20,30.00,ergo_adaptive,0.989178,0.005592,0.986398,0.969674,1.007264,0.198621,0.192981,0.190572,0.182988,0.207891,-0.367295,1.077214,0.619872
0.50,0.20,30.00,bb_ipp,0.986246,0.005532,0.985327,0.967467,1.009934,0.197439,0.186877,0.189227,0.182949,0.195374,-0.172953,1.010792,0.676186
1.00,0.20,30.00,transect,0.989228,0.005660,0.989278,0.965736,1.010685,0.111706,0.105336,0.101087,0.091779,0.122182,-0.979316,1.099574,0.472221
1.00,0.20,30.00,ergo_nonadaptive,0.984445,0.004778,0.981383,0.972986,1.005893,0.115480,0.113794,0.113722,0.091461,0.134969,-0.979340,1.074245,0.469714
1.00,0.20,30.00,ergo_adaptive,0.984694,0.004904,0.989685,0.966245,1.005145,0.116540,0.114987,0.113438,0.094991,0.134321,-0.763572,1.096999,0.539590
1.00,0.20,30.00,bb_ipp,0.985210,0.006259,0.984057,0.962841,1.010205,0.113843,0.107455,0.108375,0.092863,0.119178,-0.610724,1.065079,0.590249
1.50,0.20,30.00,transect,0.989228,0.005660,0.989278,0.965736,1.010685,0.021772,0.023081,0.017287,0.012636,0.034175,-1.479316,1.099574,0.320489
1.50,0.20,30.00,ergo_nonadaptive,0.984445,0.004778,0.981383,0.972986,1.005893,0.025827,0.033518,0.031793,0.014515,0.045270,-1.479340,1.074245,0.312042
1.50,0.20,30.00,ergo_adaptive,0.980246,0.004778,0.976640,0.956253,1.001043,0.022187,0.022234,0.017687,0.009737,0.029762,-1.028700,1.158021,0.466860
1.50,0.20,30.00,bb_ipp,0.983350,0.006147,0.978626,0.964121,1.005813,0.018400,0.018471,0.013597,0.008477,0.023968,-1.058206,1.087504,0.451539
